,address,formatted_address,,latitude,longitude,number_of_results,status,zipcode
61,"Tabitha Ct, Cottonwood, California","Tabitha Ct, California 96022, USA",,40.3407772,-122.3480227,1,OK,96022
62,"Piedmont and Auburn Avenue, Atlanta, Georgia","Piedmont Ave NE & Auburn Ave NE, Atlanta, GA 30305, USA",,33.7555435,-84.3822529,1,OK,30305
63,"3200 block of Dr Martin Luther King Dr, Saint Louis, Missouri","3200 Dr Martin Luther King Dr, St. Louis, MO 63106, USA",,38.6437037,-90.2240195,1,OK,63106
64,"700 block of Riddle Road, Cincinnati, Ohio","700 Riddle Rd, Cincinnati, OH 45220, USA",,39.1377918,-84.5300008,1,OK,45220
65,"200 block of West Fayette Street, Baltimore, Maryland","200 W Fayette St, Baltimore, MD 21201, USA",,39.2906959,-76.618129,1,OK,21201
66,"200 Generals Lane, Jonesville, Virginia","200 General Ln, Pennington Gap, VA 24277, USA",,36.7310425,-83.0888057,1,OK,24277
67,"2400 block of Fields South Drive, Champaign, Illinois","2400 Fields S Dr, Champaign, IL 61822, USA",,40.0840773,-88.3080504,1,OK,61822
68,"3800 block of Harlem Ave, Baltimore, Maryland","3800 Harlem Ave, Baltimore, MD 21229, USA",,39.2952908,-76.6803394,1,OK,21229
69,"Santa Ana Street, South Gate, California","Santa Ana St, South Gate, CA, USA",,33.9625085,-118.2012713,1,OK,
70,"2900 block of Durango, Temple, Texas","2900 Durango Dr, Temple, TX 76504, USA",,31.1022144,-97.3740394,1,OK,76504
71,"9200 block of Sunnyside Street, Oakland, California","9200 Sunnyside St, Oakland, CA 94603, USA",,37.7522285,-122.1661171,1,OK,94603
72,"1300 W Indian Trail, Aurora, Illinois","1300 W Indian Trail, Aurora, IL 60506, USA",,41.7807738,-88.3463597,1,OK,60506
73,"3500 block of West Huron Street, Chicago, Illinois","3500 W Huron St, Chicago, IL 60624, USA",,41.893939,-87.7139849,1,OK,60624
74,"967 E 99th St, Brooklyn, New York","967 E 99th St, Brooklyn, NY 11236, USA",,40.643596,-73.897446,1,OK,11236
75,"Brookside Rd and W 66th Terrace, Kansas City, Missouri","Brookside Rd & W 66th Terrace, Kansas City, MO 64113, USA",,39.0081917,-94.5927076,1,OK,64113
76,"76th and Grantosa, Milwaukee, Wisconsin","N 76th St & W Grantosa Dr, Milwaukee, WI 53218, USA",,43.1103436,-88.0059718,1,OK,53218
77,"State Road 7, Lauderdale Lakes, Florida","FL-7, Lauderdale Lakes, FL, USA",,26.1665732,-80.2032309,2,OK,
78,"5900 Block of Warrington Ave, Philadelphia, Pennsylvania","5900 Warrington Ave, Philadelphia, PA 19143, USA",,39.9366953,-75.2324436,1,OK,19143
79,"500 Wood Street, Brooklyn Park, Maryland","500 Wood St, Baltimore, MD 21225, USA",,39.221499,-76.603185,1,OK,21225
80,"2831 Boardwalk, Atlantic City, New Jersey","2831 Boardwalk, Atlantic City, NJ 08401, USA",,39.3523692,-74.4445618,1,OK,8401
81,"6300 block of Allentown Rd, Temple Hills (Camp Springs), Maryland","6300 Allentown Rd, Temple Hills, MD 20748, USA",,38.803318,-76.907033,1,OK,20748
82,"9900 Jeanette Road, Jacksonville, Florida","9900 Jeanette Rd, Jacksonville, FL 32246, USA",,30.3158629,-81.5513091,1,OK,32246
83,"1800 block of Myrtle Drive, Atlanta, Georgia","1800 Myrtle Dr SW, Atlanta, GA 30311, USA",,33.7060188,-84.4547389,1,OK,30311
84,"W Louisiana Ave and S Inca St, Denver, Colorado","W Louisiana Ave & S Inca St, Denver, CO 80223, USA",,39.6930768,-104.9980202,1,OK,80223
85,"9700 block of Hanover Grove Avenue, Las Vegas, Nevada","9700 W Hanover Grove Ave, Las Vegas, NV 89148, USA",,36.0724447,-115.3059059,1,OK,89148
86,"Castle and Whittier, Wichita, Kansas","S Whittier St & E Castle Dr, Wichita, KS 67207, USA",,37.6710126,-97.2523608,1,OK,67207
87,"4500 Silver Star Rd, Orlando, Florida","4500 Silver Star Rd, Orlando, FL 32808, USA",,28.5776417,-81.4399587,1,OK,32808
88,"510 Washington St, Boston, Massachusetts","510 Washington St, Boston, MA 02124, USA",,42.2938823,-71.071412,1,OK,2124
89,"8040 Plantation Rd, Roanoke, Virginia","8040 Plantation Rd, Hollins, VA 24019, USA",,37.3582663,-79.9572276,1,OK,24019
90,"July Drive, Lowmansville, Kentucky","July Dr, Kentucky 41232, USA",,37.9209213,-82.7320047,1,OK,41232
91,"Jackson St, Lynn, Massachusetts","Jackson St, Lynn, MA 01902, USA",,42.4754153,-70.9336911,1,OK,1902
92,"Intervale Street, Quincy, Massachusetts","Intervale St, Quincy, MA 02169, USA",,42.2378076,-71.0120772,1,OK,2169
93,"Curry Lane, Florence, South Carolina","Curry Ln, Florence, SC 29501, USA",,34.2011917,-79.7867879,1,OK,29501
94,"4000 block of West 18th Street, Chicago, Illinois","4000 W 18th St, Chicago, IL 60623, USA",,41.8570426,-87.7248956,1,OK,60623
95,"4000 block of Indian Creek Road, Elkview, West Virginia","4000 Indian Creek Rd, Elkview, WV 25071, USA",,38.4029712,-81.507102,1,OK,25071
96,"Calle de la Plata, Sparks (Spanish Springs), Nevada","Calle De La Plata, Spanish Springs, NV 89441, USA",,39.6695115,-119.6729401,1,OK,89441
97,"2900 block of Thomas Street, Fort Myers, Florida","2900 Thomas St, Fort Myers, FL 33916, USA",,26.6373099,-81.8545731,1,OK,33916
98,"I-55 and Loughborough Ave, Saint Louis, Missouri","1042-A Loughborough Ave, St. Louis, MO 63111, USA",,38.557557,-90.262016,1,OK,63111
99,"3200 block of Merced Place, Oxnard, California","3200 Merced Pl, Oxnard, CA 93033, USA",,34.1712268,-119.1481274,1,OK,93033
100,"25 Union Avenue, Port Jefferson Station, New York","25 Union St, Port Jefferson Station, NY 11776, USA",,40.9329391,-73.0504662,1,OK,11776
101,"2300 block of Fairbanks Avenue, Norfolk, Virginia","2300 Fairbanks Ave, Norfolk, VA 23513, USA",,36.8677102,-76.2393801,1,OK,23513
102,"66100 block of 3rd St, Desert Hot Springs, California","66100 3rd St, Desert Hot Springs, CA 92240, USA",,33.964393,-116.5084271,1,OK,92240
103,"721 Twin Oaks Road, Thomson, Georgia","721 Twin Oaks Rd, Thomson, GA 30824, USA",,33.471666,-82.5230441,1,OK,30824
104,"North Payne Street and Wythe Street, Alexandria, Virginia","N Payne St & Wythe St, Alexandria, VA 22314, USA",,38.8127196,-77.0520675,1,OK,22314
105,"2400 block of Walker Chapel Rd, Fultondale, Alabama","2400 Walker Chapel Rd, Fultondale, AL 35068, USA",,33.60487,-86.817872,1,OK,35068
106,"15th St and Mulberry st, Lincoln, Nebraska","W Mulberry St, Lincoln, NE 68522, USA",,40.7934018,-96.7873671,1,OK,68522
107,"Chambers and South Street, Newburgh, New York","South St & Chambers St, Newburgh, NY 12550, USA",,41.506899,-74.011525,2,OK,12550
108,"Loop Road and Matilton Cutoff Road, Hoopa, California","5 Loop Rd, Hoopa, CA 95546, USA",,41.0495704,-123.6749815,1,OK,95546
109,"4050 SW Lombard Ave, Beaverton, Oregon","4050 SW Lombard Ave, Beaverton, OR 97005, USA",,45.4907924,-122.8019274,1,OK,97005
110,"Walker Avenue near Northwest 9th Street, Oklahoma City, Oklahoma","1099N N Walker Ave, Oklahoma City, OK 73102, USA",,35.4778325,-97.5216705,1,OK,73102
111,"Castle Hill Ave. near Seward Ave., Bronx, New York","Seward Ave, The Bronx, NY 10473, USA",,40.8211202,-73.8485165,1,OK,10473
112,"1600 block of East 70th Street, Chicago, Illinois","1600 E 70th St, Chicago, IL 60649, USA",,41.7678655,-87.5859794,1,OK,60649
113,"327 Park Street, Salinas, California","327 Park St, Salinas, CA 93901, USA",,36.677334,-121.6644255,1,OK,93901
114,"Northern Avenue, Augusta, Maine","Northern Ave, Augusta, ME 04330, USA",,44.3297803,-69.7766438,1,OK,4330
115," I-526 and West Montague Avenue, North Charleston, South Carolina","1943 Savannah Hwy, Charleston, SC 29407, USA",,32.7886255,-80.0276284,1,OK,29407
116,"2100 block of North Angus Street, Fresno, California","2100 N Angus St, Fresno, CA 93703, USA",,36.769825,-119.7766317,1,OK,93703
117,"Bedford and Gates, Brooklyn, New York","Bedford Ave & Gates Ave, Brooklyn, NY 11216, USA",,40.6857863,-73.954386,2,OK,11216
118,"700 block of E St, Schuyler, Nebraska","700 E St, Schuyler, NE 68661, USA",,41.443848,-97.0531875,1,OK,68661
119,"2491 Winchester Road, Memphis, Tennessee","2491 Winchester Rd, Memphis, TN 38116, USA",,35.0469098,-89.9816526,1,OK,38116
120,"1600 block of North Kildare, Chicago, Illinois","1600 N Kildare Ave, Chicago, IL 60639, USA",,41.9098339,-87.7336451,1,OK,60639
121,"14000 block of Wales Street, New Orleans, Louisiana","14000 Wales St, New Orleans, LA 70128, USA",,30.067086,-89.950573,1,OK,70128
122,"Washington Street Extension, Middlebury, Vermont","Washington St Ext, Middlebury, VT 05753, USA",,44.0214919,-73.153491,1,OK,5753
123,"Lagrange and Sherman, Toledo, Ohio","Lagrange St & Sherman St, Toledo, OH 43608, USA",,41.667716,-83.534798,1,OK,43608
124,"1210 Columbia Street, Waterloo, Iowa","1210 Columbia St, Waterloo, IA 50703, USA",,42.5188076,-92.3424457,1,OK,50703
125,"Avalon Drive, Lexington, North Carolina","Avalon Dr, Tyro, NC 27295, USA",,35.8378842,-80.3313143,1,OK,27295
126,"Sherman Street, Westbury, New York","Sherman St, Westbury, NY 11590, USA",,40.7620292,-73.5703923,1,OK,11590
127,"11111 Harlem Road, Richmond, Texas","11111 Harlem Rd, Richmond, TX 77406, USA",,29.6534551,-95.7163645,1,OK,77406
128,"1300 North 26th Street, Milwaukee, Wisconsin","1300 N 26th St, Milwaukee, WI 53205, USA",,43.0472703,-87.9462741,1,OK,53205
129,"Bragg Boulevard, Fayetteville, North Carolina","Bragg Blvd, Fayetteville, NC, USA",,35.1014302,-78.9581319,1,OK,
130,"East 30th Street and Superior Avenue, Cleveland, Ohio","E 30th St & Superior Ave, Cleveland, OH 44114, USA",,41.5104878,-81.6707004,1,OK,44114
131,"700 Woodlow Street, Pittsburgh, Pennsylvania","700 Woodlow St, Pittsburgh, PA 15205, USA",,40.4470434,-80.051047,1,OK,15205
132,"800 block of Staples Avenue, Kalamazoo, Michigan","800 Staples Ave, Kalamazoo, MI 49007, USA",,42.2983838,-85.5971535,1,OK,49007
133,"N. Chicago Ave., Portland, Oregon","N Chicago Ave, Portland, OR 97203, USA",,45.5927358,-122.7537361,1,OK,97203
134," 8200 South Kedzie Avenue., Chicago, Illinois","8200 S Kedzie Ave, Chicago, IL 60652, USA",,41.7440466,-87.7024656,1,OK,60652
135,"400 block of 55th Street, Fairfield, Alabama","400 55th St, Fairfield, AL 35064, USA",,33.4831896,-86.9128656,1,OK,35064
136,"3800 block of W. Fairmount Ave., Milwaukee, Wisconsin","3800 W Fairmount Ave, Milwaukee, WI 53209, USA",,43.1082663,-87.9602171,1,OK,53209
137,"3000 block of Viking Drive, Nashville, Tennessee","Nashville, TN, USA",,36.1626638,-86.7816016,1,OK,
138,"Michigan Avenue and Monroe Street, Chicago, Illinois","Michigan Avenue & East Monroe Street, Chicago, IL 60603, USA",,41.880824,-87.6244426,1,OK,60603
139,"611 4th Ave, Huntington, West Virginia","611 4th Ave, Huntington, WV 25701, USA",,38.419622,-82.448406,1,OK,25701
140,"281 Tacoma Street, Worcester, Massachusetts","281 Tacoma St, Worcester, MA 01605, USA",,42.3079726,-71.775495,1,OK,1605
141,"1410 University Blvd, Tuscaloosa, Alabama","1410 University Blvd, Tuscaloosa, AL 35401, USA",,33.2116782,-87.5559244,1,OK,35401
142,"Girard Street, Delano, California","Girard St, Delano, CA 93215, USA",,35.7846746,-119.2498244,1,OK,93215
143,"2733 169th Street, Hammond (Hessville), Indiana","2733 169th St, Hammond, IN 46323, USA",,41.588618,-87.4626608,1,OK,46323
144,"776 N Terminal Dr, Salt Lake City, Utah","776 N Terminal Dr, Salt Lake City, UT 84122, USA",,40.7866133,-111.9818541,1,OK,84122
145,"El Potrero Rd, Chimayo, New Mexico","El Potrero Rd, Chimayo, NM 87522, USA",,35.9918057,-105.9393287,1,OK,87522
146,"19200 block of SW Cipole Rd, Sherwood, Oregon","19200 SW Cipole Rd, Sherwood, OR 97140, USA",,45.380709,-122.8149771,1,OK,97140
147,"2700 block of Burrell Street, Birmingham, Alabama","2700 Burrell St, Birmingham, AL 35224, USA",,33.5150903,-86.9124683,1,OK,35224
148,"Ashley and Krupp streets, Buffalo, New York","Ashley St & Krupp St, Buffalo, NY 14212, USA",,42.8937637,-78.823646,1,OK,14212
149,"North Tibbs Avenue and West Washington Street, Indianapolis, Indiana","N Tibbs Ave & W Washington St, Indianapolis, IN 46222, USA",,39.7646996,-86.2118243,1,OK,46222
150,"S. H St. and White Lane, Bakersfield, California","S H St & White Ln, Bakersfield, CA 93304, USA",,35.317585,-119.0213168,1,OK,93304
151,"2300 block of West Wiswall Street, Peoria, Illinois","2300 W Wiswall St, Peoria, IL 61605, USA",,40.680218,-89.629049,1,OK,61605
152,"2600 block of 18th Street, Southeast, Washington, District of Columbia","2600 18th St SE, Washington, DC 20020, USA",,38.8551579,-76.979022,1,OK,20020
153,"12314 Pacific Highway SW, Lakewood, Washington","12314 Pacific Hwy SW, Lakewood, WA 98499, USA",,47.1456593,-122.5114208,1,OK,98499
154,"9th Court North and Center Street, Birmingham, Alabama","Center St & 9th Ct N, Birmingham, AL 35204, USA",,33.5167473,-86.8361886,1,OK,35204
155,"1100 block of Burns Ave, Saint Paul, Minnesota","1100 Burns Ave, St Paul, MN 55106, USA",,44.9487084,-93.05416,1,OK,55106
156,"LeBlanc Ct, Louisville, Kentucky","Le Blanc Ct, Louisville, KY 40206, USA",,38.2603991,-85.6992488,1,OK,40206
157,"14220 Northwest 157th Place, Alachua, Florida","14220 NW 157th Pl, Alachua, FL 32615, USA",,29.7993191,-82.4973878,1,OK,32615
158,"4300 block of Central Ave., Charlotte, North Carolina","4300 Central Ave, Charlotte, NC 28205, USA",,35.2143746,-80.7728975,1,OK,28205
159,"7250 S. Tucson Blvd., Tucson, Arizona","7250 S Tucson Blvd, Tucson, AZ 85756, USA",,32.1202544,-110.937308,1,OK,85756
160,"818 Roanoke Ave, Elizabeth City, North Carolina","818 Roanoke Ave, Elizabeth City, NC 27909, USA",,36.2866956,-76.2310514,1,OK,27909
161,"95th St and Jackson Mill Rd, Corona (Queens), New York","Jackson Mill Rd & 95th St, Queens, NY 11369, USA",,40.7593588,-73.87356,1,OK,11369
162,"900 block of Maine Ave, Long Beach, California","900 Maine Ave, Long Beach, CA 90813, USA",,33.77787,-118.2004786,1,OK,90813
163,"Kirby Ave and Elbright St, Muncie, Indiana","S Ebright St & E Kirby Ave, Muncie, IN 47302, USA",,40.188474,-85.3760555,1,OK,47302
164,"29083 Mission Blvd, Hayward, California","29083 Mission Blvd, Hayward, CA 94544, USA",,37.6332615,-122.0528931,1,OK,94544
165,"5200 block of E Calberts Ln, Fair Grove, Missouri","E Calberts Ln, Jackson No. 1 Township, MO 65648, USA",,37.3353277,-93.1781851,1,OK,65648
166,"Dacy Lane, Buda, Texas","Dacy Ln, Texas, USA",,30.0308533,-97.8290035,1,OK,
167,"3271 E. 100 N., Rigby, Idaho","3271 E 100 N, Rigby, ID 83442, USA",,43.641759,-112.0494459,1,OK,83442
168,"1100 block of 28th Street, Oakland, California","1100 28th St, Oakland, CA 94608, USA",,37.8202285,-122.2812724,1,OK,94608
169,"1900 block of Randleman Road, Greensboro, North Carolina","1900 Randleman Rd, Greensboro, NC 27406, USA",,36.0486367,-79.7987442,1,OK,27406
170,"6700 block of South Jeffery Ave, Chicago, Illinois","6700 S Jeffery Ave, Chicago, IL 60649, USA",,41.7731486,-87.5768513,1,OK,60649
171,"12th and Chestnut, Chester, Pennsylvania","E 12th St & Chestnut St, Chester, PA 19013, USA",,39.8587874,-75.3552939,1,OK,19013
172,"Chancery Lane, Orange County, Florida","Chancery Ln, Sky Lake, FL 32809, USA",,28.4603596,-81.3962676,1,OK,32809
173,"100 block of Southwest Fourth Street, Battle Ground, Washington","100 SW 4th St, Battle Ground, WA 98604, USA",,45.7781964,-122.5385431,1,OK,98604
174,"Sunny Ln, Grifton, North Carolina","Sunny Ln, Contentnea Neck, NC, USA",,35.3904962,-77.5289858,1,OK,
175,"Northside Drive , Jackson, Mississippi","E Northside Dr, Jackson, MS, USA",,32.3557671,-90.1476098,2,OK,
176,"13th St and Hawthorne Ave, Apopka, Florida","S Hawthorne Ave, Apopka, FL 32703, USA",,28.6632944,-81.5176824,1,OK,32703
177,"Boxwood Drive, Hopkinsville, Kentucky","Boxwood Dr, Hopkinsville, KY 42240, USA",,36.8783019,-87.5026444,1,OK,42240
178,"S Bond St and Beacon Ave S, Seattle, Washington","S Bond St & Beacon Ave S, Seattle, WA 98118, USA",,47.5142968,-122.2737662,1,OK,98118
179,"Sacramento Street, Vallejo, California","Sacramento St, Vallejo, CA 94590, USA",,38.1105449,-122.2580816,1,OK,94590
180,"5300 block of West Grand, Chicago, Illinois","5300 W Grand Ave, Chicago, IL 60639, USA",,41.917679,-87.7586,1,OK,60639
181,"2605 Hwy 35, Emerson, Nebraska","2605 NE-35, Emerson, NE 68733, USA",,42.2932975,-96.7102378,1,OK,68733
182,"Creston Avenue and East 183rd Street, Bronx, New York","E 183rd St & Creston Ave, The Bronx, NY 10468, USA",,40.8577727,-73.9009323,1,OK,10468
183,"GA 17, Martin, Georgia","GA-17, Martin, GA, USA",,34.4939787,-83.1811895,1,OK,
184,"1426 Nolan Street, Palm Bay, Florida","1426 Nolan St NE, Palm Bay, FL 32907, USA",,28.0024754,-80.6300683,1,OK,32907
185,"Long Pine Drive, Tobyhanna (Coolbaugh Township), Pennsylvania","Long Pine Dr, Coolbaugh Township, PA 18466, USA",,41.2033728,-75.3757634,1,OK,18466
186,"Flat Shoals Road, Dekalb County, Georgia","Flat Shoals Rd, Georgia, USA",,33.7139348,-84.3048138,1,OK,
187,"3900 block of N Florissant Ave, Saint Louis, Missouri","3900 N Florissant Ave, St. Louis, MO 63107, USA",,38.6615773,-90.2060931,1,OK,63107
188,"2900 block of Leeway, Columbia, Missouri","2900 Leeway Dr, Columbia, MO 65202, USA",,38.9864781,-92.2952917,1,OK,65202
189,"452 Main Street, West Yarmouth, Massachusetts","452 Main St, West Yarmouth, MA 02673, USA",,41.651381,-70.2401545,1,OK,2673
190,"980 Massachusetts Avenue, Boston, Massachusetts","980 Massachusetts Ave, Boston, MA 02118, USA",,42.3287666,-71.06793,1,OK,2118
191,"Greenville Blvd, Greenville, North Carolina","Greenville Blvd SE, Greenville, NC, USA",,35.5898787,-77.3583794,1,OK,
